"zone","offset","country","city"
Africa/Abidjan,-968,Africa,Abidjan
Africa/Accra,-968,Africa,Accra
Africa/Addis_Ababa,8836,Africa,Addis_Ababa
Africa/Algiers,732,Africa,Algiers
Africa/Asmara,8836,Africa,Asmara
Africa/Bamako,-968,Africa,Bamako
Africa/Bangui,815,Africa,Bangui
Africa/Banjul,-968,Africa,Banjul
Africa/Bissau,-3740,Africa,Bissau
Africa/Blantyre,7818,Africa,Blantyre
Africa/Brazzaville,815,Africa,Brazzaville
Africa/Bujumbura,7818,Africa,Bujumbura
Africa/Cairo,7509,Africa,Cairo
Africa/Casablanca,-1820,Africa,Casablanca
Africa/Ceuta,-1276,Africa,Ceuta
Africa/Conakry,-968,Africa,Conakry
Africa/Dakar,-968,Africa,Dakar
Africa/Dar_es_Salaam,8836,Africa,Dar_es_Salaam
Africa/Djibouti,8836,Africa,Djibouti
Africa/Douala,815,Africa,Douala
Africa/El_Aaiun,-3168,Africa,El_Aaiun
Africa/Freetown,-968,Africa,Freetown
Africa/Gaborone,7818,Africa,Gaborone
Africa/Harare,7818,Africa,Harare
Africa/Johannesburg,6720,Africa,Johannesburg
Africa/Juba,7588,Africa,Juba
Africa/Kampala,8836,Africa,Kampala
Africa/Khartoum,7808,Africa,Khartoum
Africa/Kigali,7818,Africa,Kigali
Africa/Kinshasa,815,Africa,Kinshasa
Africa/Lagos,815,Africa,Lagos
Africa/Libreville,815,Africa,Libreville
Africa/Lome,-968,Africa,Lome
Africa/Luanda,815,Africa,Luanda
Africa/Lubumbashi,7818,Africa,Lubumbashi
Africa/Lusaka,7818,Africa,Lusaka
Africa/Malabo,815,Africa,Malabo
Africa/Maputo,7818,Africa,Maputo
Africa/Maseru,6720,Africa,Maseru
Africa/Mbabane,6720,Africa,Mbabane
Africa/Mogadishu,8836,Africa,Mogadishu
Africa/Monrovia,-2588,Africa,Monrovia
Africa/Nairobi,8836,Africa,Nairobi
Africa/Ndjamena,3612,Africa,Ndjamena
Africa/Niamey,815,Africa,Niamey
Africa/Nouakchott,-968,Africa,Nouakchott
Africa/Ouagadougou,-968,Africa,Ouagadougou
Africa/Porto-Novo,815,Africa,Porto-Novo
Africa/Sao_Tome,1616,Africa,Sao_Tome
Africa/Tripoli,3164,Africa,Tripoli
